2019-Oct-16 03:08:43.150 INFO  [main] c.l.a.AppApplication - Started AppApplication in 38.307 seconds (JVM running for 41.494)
2019-Oct-16 03:09:42.940 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-Oct-16 03:09:45.053 INFO  [Thread-15] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application DISCOVERY-SERVICE with eureka with status DOWN
2019-Oct-16 03:09:45.097 INFO  [Thread-15] c.n.e.DefaultEurekaServerContext - Shutting down ...
2019-Oct-16 03:09:45.109 INFO  [Thread-15] c.n.e.DefaultEurekaServerContext - Shut down
2019-Oct-16 03:09:45.125 INFO  [Thread-15] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-Oct-16 03:09:45.179 INFO  [Thread-15] c.n.d.DiscoveryClient - Shutting down DiscoveryClient ...
2019-Oct-16 03:09:45.180 INFO  [Thread-15] c.n.d.DiscoveryClient - Completed shut down of DiscoveryClient
2019-Oct-16 03:11:52.754 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.eureka'
2019-Oct-16 03:11:52.754 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.discovery'
2019-Oct-16 03:11:52.844 INFO  [main] c.l.a.AppApplication - No active profile set, falling back to default profiles: default
2019-Oct-16 03:11:57.275 WARN  [main] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-Oct-16 03:11:58.619 INFO  [main] o.s.c.c.s.GenericScope - BeanFactory id=27878294-b362-3f48-b73a-477b5dc03d46
2019-Oct-16 03:11:59.367 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1e9646aa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-Oct-16 03:12:01.823 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-Oct-16 03:12:02.044 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2019-Oct-16 03:12:02.049 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-Oct-16 03:12:02.091 INFO  [main] o.a.c.c.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-Oct-16 03:12:02.617 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2019-Oct-16 03:12:02.618 INFO  [main] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 9666 ms
2019-Oct-16 03:12:03.257 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:12:03.258 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:12:03.423 INFO  [main] c.n.c.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@37fb0bed
2019-Oct-16 03:12:06.696 INFO  [main] c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2019-Oct-16 03:12:07.184 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-Oct-16 03:12:07.189 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-Oct-16 03:12:08.227 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-Oct-16 03:12:08.229 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-Oct-16 03:12:10.026 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:12:10.027 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:12:10.743 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-Oct-16 03:12:13.783 INFO  [main] o.s.c.n.e.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-Oct-16 03:12:13.969 INFO  [main] c.n.d.DiscoveryClient - Initializing Eureka in region us-east-1
2019-Oct-16 03:12:13.970 INFO  [main] c.n.d.DiscoveryClient - Client configured to neither register nor query for data.
2019-Oct-16 03:12:14.014 INFO  [main] c.n.d.DiscoveryClient - Discovery Client initialized at timestamp 1571195534011 with initial instances count: 0
2019-Oct-16 03:12:14.405 INFO  [main] c.n.e.DefaultEurekaServerContext - Initializing ...
2019-Oct-16 03:12:14.432 WARN  [main] c.n.e.c.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2019-Oct-16 03:12:14.562 INFO  [main] c.n.e.r.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2019-Oct-16 03:12:14.582 INFO  [main] c.n.e.DefaultEurekaServerContext - Initialized
2019-Oct-16 03:12:14.722 INFO  [main] o.s.b.a.e.w.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-Oct-16 03:12:15.312 INFO  [main] o.s.c.n.e.s.EurekaServiceRegistry - Registering application DISCOVERY-SERVICE with eureka with status UP
2019-Oct-16 03:12:15.371 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Setting the eureka configuration..
2019-Oct-16 03:12:15.386 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-Oct-16 03:12:15.388 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2019-Oct-16 03:12:15.511 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2019-Oct-16 03:12:15.512 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2019-Oct-16 03:12:15.513 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2019-Oct-16 03:12:15.513 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2019-Oct-16 03:12:15.513 INFO  [Thread-13] c.n.e.r.PeerAwareInstanceRegistryImpl - Changing status to UP
